->call
|Number of Samples|Run time|       Memory|    Disk read|Disk write|                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               List of Samples|
|-----------------|--------|-------------|-------------|----------|--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|
|                1|   99.21| 2090426368.0|  296999651.0| 2343126.0|                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   MOD1_LS1005|
|               10|  215.97| 9587032064.0| 2881672663.0|11776982.0|                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           MOD1_LS1005, CFSAN023467, SIM_CFSAN000669, SIM_CFSAN000961, SIM_CFSAN001115, MOD1_LS982, D7331, 2014D-0189, 2014C-3656, MOD1_LS1006|
|               20|  266.49|21983473664.0| 5649854311.0|21749253.0|                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            MOD1_LS1005, CFSAN023467, SIM_CFSAN000669, SIM_CFSAN000961, SIM_CFSAN001115, MOD1_LS982, D7331, 2014D-0189, 2014C-3656, MOD1_LS1006, SIM_CFSAN000951, CFSAN023470, CFSAN023466, SIM_CFSAN000960, SIM_CFSAN000212, SIM_CFSAN000963, D7321, SIM_CFSAN000189, MOD1_LS997, CFSAN023464|
|               30|  307.45|29312921600.0| 8350586136.0|31602860.0|                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    MOD1_LS1005, CFSAN023467, SIM_CFSAN000669, SIM_CFSAN000961, SIM_CFSAN001115, MOD1_LS982, D7331, 2014D-0189, 2014C-3656, MOD1_LS1006, SIM_CFSAN000951, CFSAN023470, CFSAN023466, SIM_CFSAN000960, SIM_CFSAN000212, SIM_CFSAN000963, D7321, SIM_CFSAN000189, MOD1_LS997, CFSAN023464, 2014C-3907, PNUSA000195, SIM_CFSAN000753, CFSAN023469, SIM_CFSAN000228, PNUSAL000730, PNUSA000196, CFSAN023471, D7323, SIM_CFSAN000211|
|               40|  333.19|31327203328.0|12021919321.0|41734964.0|                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               MOD1_LS1005, CFSAN023467, SIM_CFSAN000669, SIM_CFSAN000961, SIM_CFSAN001115, MOD1_LS982, D7331, 2014D-0189, 2014C-3656, MOD1_LS1006, SIM_CFSAN000951, CFSAN023470, CFSAN023466, SIM_CFSAN000960, SIM_CFSAN000212, SIM_CFSAN000963, D7321, SIM_CFSAN000189, MOD1_LS997, CFSAN023464, 2014C-3907, PNUSA000195, SIM_CFSAN000753, CFSAN023469, SIM_CFSAN000228, PNUSAL000730, PNUSA000196, CFSAN023471, D7323, SIM_CFSAN000211, 2014D-0070, MOD1_LS1008, 2014D-0068, CFSAN023468, D7333, SIM_CFSAN000954, D7320, 2014C-3850, SIM_CFSAN001140, D7327|
|               50|  372.47|34004946944.0|16060129840.0|52179078.0|                                                                                                                                                                                                                                                                                                                                                                                               MOD1_LS1005, CFSAN023467, SIM_CFSAN000669, SIM_CFSAN000961, SIM_CFSAN001115, MOD1_LS982, D7331, 2014D-0189, 2014C-3656, MOD1_LS1006, SIM_CFSAN000951, CFSAN023470, CFSAN023466, SIM_CFSAN000960, SIM_CFSAN000212, SIM_CFSAN000963, D7321, SIM_CFSAN000189, MOD1_LS997, CFSAN023464, 2014C-3907, PNUSA000195, SIM_CFSAN000753, CFSAN023469, SIM_CFSAN000228, PNUSAL000730, PNUSA000196, CFSAN023471, D7323, SIM_CFSAN000211, 2014D-0070, MOD1_LS1008, 2014D-0068, CFSAN023468, D7333, SIM_CFSAN000954, D7320, 2014C-3850, SIM_CFSAN001140, D7327, D7330, D5663, CFSAN023465, 2014C-3857, MOD1_LS1000, MOD1_LS995, SIM_CFSAN000970, MOD1_LS998, D7329, 2014C-3655|
|               60|  399.65|37075238912.0|18789025521.0|62252085.0|                                                                                                                                                                                                                                                          MOD1_LS1005, CFSAN023467, SIM_CFSAN000669, SIM_CFSAN000961, SIM_CFSAN001115, MOD1_LS982, D7331, 2014D-0189, 2014C-3656, MOD1_LS1006, SIM_CFSAN000951, CFSAN023470, CFSAN023466, SIM_CFSAN000960, SIM_CFSAN000212, SIM_CFSAN000963, D7321, SIM_CFSAN000189, MOD1_LS997, CFSAN023464, 2014C-3907, PNUSA000195, SIM_CFSAN000753, CFSAN023469, SIM_CFSAN000228, PNUSAL000730, PNUSA000196, CFSAN023471, D7323, SIM_CFSAN000211, 2014D-0070, MOD1_LS1008, 2014D-0068, CFSAN023468, D7333, SIM_CFSAN000954, D7320, 2014C-3850, SIM_CFSAN001140, D7327, D7330, D5663, CFSAN023465, 2014C-3857, MOD1_LS1000, MOD1_LS995, SIM_CFSAN000970, MOD1_LS998, D7329, 2014C-3655, SIM_CFSAN000661, SIM_CFSAN000958, MOD1_LS996, D7316, CFSAN002349, MOD1_LS1004, MOD1_LS1010, SIM_CFSAN000952, MOD1_LS985, 2014D-0067|
|               70|   468.9|44469342208.0|22423132849.0|72826750.0|                                                                                                                                   MOD1_LS1005, CFSAN023467, SIM_CFSAN000669, SIM_CFSAN000961, SIM_CFSAN001115, MOD1_LS982, D7331, 2014D-0189, 2014C-3656, MOD1_LS1006, SIM_CFSAN000951, CFSAN023470, CFSAN023466, SIM_CFSAN000960, SIM_CFSAN000212, SIM_CFSAN000963, D7321, SIM_CFSAN000189, MOD1_LS997, CFSAN023464, 2014C-3907, PNUSA000195, SIM_CFSAN000753, CFSAN023469, SIM_CFSAN000228, PNUSAL000730, PNUSA000196, CFSAN023471, D7323, SIM_CFSAN000211, 2014D-0070, MOD1_LS1008, 2014D-0068, CFSAN023468, D7333, SIM_CFSAN000954, D7320, 2014C-3850, SIM_CFSAN001140, D7327, D7330, D5663, CFSAN023465, 2014C-3857, MOD1_LS1000, MOD1_LS995, SIM_CFSAN000970, MOD1_LS998, D7329, 2014C-3655, SIM_CFSAN000661, SIM_CFSAN000958, MOD1_LS996, D7316, CFSAN002349, MOD1_LS1004, MOD1_LS1010, SIM_CFSAN000952, MOD1_LS985, 2014D-0067, D7322, D7324, CFSAN023463, 2014C-3600, 2014C-3599, SIM_CFSAN001118, SIM_CFSAN001112, D7328, PNUSAL000870, MOD1_LS1011|
|               80|  545.27|49952370688.0|25074634682.0|83571945.0|MOD1_LS1005, CFSAN023467, SIM_CFSAN000669, SIM_CFSAN000961, SIM_CFSAN001115, MOD1_LS982, D7331, 2014D-0189, 2014C-3656, MOD1_LS1006, SIM_CFSAN000951, CFSAN023470, CFSAN023466, SIM_CFSAN000960, SIM_CFSAN000212, SIM_CFSAN000963, D7321, SIM_CFSAN000189, MOD1_LS997, CFSAN023464, 2014C-3907, PNUSA000195, SIM_CFSAN000753, CFSAN023469, SIM_CFSAN000228, PNUSAL000730, PNUSA000196, CFSAN023471, D7323, SIM_CFSAN000211, 2014D-0070, MOD1_LS1008, 2014D-0068, CFSAN023468, D7333, SIM_CFSAN000954, D7320, 2014C-3850, SIM_CFSAN001140, D7327, D7330, D5663, CFSAN023465, 2014C-3857, MOD1_LS1000, MOD1_LS995, SIM_CFSAN000970, MOD1_LS998, D7329, 2014C-3655, SIM_CFSAN000661, SIM_CFSAN000958, MOD1_LS996, D7316, CFSAN002349, MOD1_LS1004, MOD1_LS1010, SIM_CFSAN000952, MOD1_LS985, 2014D-0067, D7322, D7324, CFSAN023463, 2014C-3600, 2014C-3599, SIM_CFSAN001118, SIM_CFSAN001112, D7328, PNUSAL000870, MOD1_LS1011, SIM_CFSAN000752, PNUSAL000957, PNUSA000194, 2014C-3598, SIM_CFSAN000191, MOD1_LS1009, MOD1_LS989, MOD1_LS994, PNUSAL001024, D7319|
