->index
|Number of Samples|Run time|       Memory|     Disk read|    Disk write|                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            List of Samples|
|-----------------|--------|-------------|--------------|--------------|-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|
|                1| 1164.62| 1339035648.0|  6601686454.0|  5540061179.0|                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 2014C-3598|
|               10| 2177.22| 4795629568.0| 34338561488.0| 22354668482.0|                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     2014C-3598, 2014C-3599, 2014C-3600, 2014C-3655, 2014C-3656, 2014C-3840, 2014C-3850, 2014C-3857, 2014C-3907, 2014D-0067|
|               20| 2817.71|53544222720.0| 52397412386.0| 34894436034.0|                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      2014C-3598, 2014C-3599, 2014C-3600, 2014C-3655, 2014C-3656, 2014C-3840, 2014C-3850, 2014C-3857, 2014C-3907, 2014D-0067, 2014D-0068, 2014D-0070, 2014D-0189, CFSAN002349, CFSAN023463, CFSAN023464, CFSAN023465, CFSAN023466, CFSAN023467, CFSAN023468|
|               30| 4384.79|54131322880.0| 91889569573.0| 65408412082.0|                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              2014C-3598, 2014C-3599, 2014C-3600, 2014C-3655, 2014C-3656, 2014C-3840, 2014C-3850, 2014C-3857, 2014C-3907, 2014D-0067, 2014D-0068, 2014D-0070, 2014D-0189, CFSAN002349, CFSAN023463, CFSAN023464, CFSAN023465, CFSAN023466, CFSAN023467, CFSAN023468, CFSAN023469, CFSAN023470, CFSAN023471, D5663, D7316, D7319, D7320, D7321, D7322, D7323|
|               40| 5644.14|53567791104.0|142511484110.0|105286110429.0|                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            2014C-3598, 2014C-3599, 2014C-3600, 2014C-3655, 2014C-3656, 2014C-3840, 2014C-3850, 2014C-3857, 2014C-3907, 2014D-0067, 2014D-0068, 2014D-0070, 2014D-0189, CFSAN002349, CFSAN023463, CFSAN023464, CFSAN023465, CFSAN023466, CFSAN023467, CFSAN023468, CFSAN023469, CFSAN023470, CFSAN023471, D5663, D7316, D7319, D7320, D7321, D7322, D7323, D7324, D7327, D7328, D7329, D7330, D7331, D7333, D7334, MOD1_LS1000, MOD1_LS1003|
|               50| 7090.57|54365429760.0|176177275541.0|130496602972.0|                                                                                                                                                                                                                                                                                                                                                                                                                                                                             2014C-3598, 2014C-3599, 2014C-3600, 2014C-3655, 2014C-3656, 2014C-3840, 2014C-3850, 2014C-3857, 2014C-3907, 2014D-0067, 2014D-0068, 2014D-0070, 2014D-0189, CFSAN002349, CFSAN023463, CFSAN023464, CFSAN023465, CFSAN023466, CFSAN023467, CFSAN023468, CFSAN023469, CFSAN023470, CFSAN023471, D5663, D7316, D7319, D7320, D7321, D7322, D7323, D7324, D7327, D7328, D7329, D7330, D7331, D7333, D7334, MOD1_LS1000, MOD1_LS1003, MOD1_LS1004, MOD1_LS1005, MOD1_LS1006, MOD1_LS1008, MOD1_LS1009, MOD1_LS1010, MOD1_LS1011, MOD1_LS982, MOD1_LS985, MOD1_LS989|
|               60| 8280.08|53390233600.0|211291696981.0|156832651466.0|                                                                                                                                                                                                                                                                                                                                              2014C-3598, 2014C-3599, 2014C-3600, 2014C-3655, 2014C-3656, 2014C-3840, 2014C-3850, 2014C-3857, 2014C-3907, 2014D-0067, 2014D-0068, 2014D-0070, 2014D-0189, CFSAN002349, CFSAN023463, CFSAN023464, CFSAN023465, CFSAN023466, CFSAN023467, CFSAN023468, CFSAN023469, CFSAN023470, CFSAN023471, D5663, D7316, D7319, D7320, D7321, D7322, D7323, D7324, D7327, D7328, D7329, D7330, D7331, D7333, D7334, MOD1_LS1000, MOD1_LS1003, MOD1_LS1004, MOD1_LS1005, MOD1_LS1006, MOD1_LS1008, MOD1_LS1009, MOD1_LS1010, MOD1_LS1011, MOD1_LS982, MOD1_LS985, MOD1_LS989, MOD1_LS994, MOD1_LS995, MOD1_LS996, MOD1_LS997, MOD1_LS998, PNUSA000194, PNUSA000195, PNUSA000196, PNUSAL000730, PNUSAL000870|
|               70| 9732.86|51442958336.0|239526184568.0|175750304744.0|                                                                                                                                                                          2014C-3598, 2014C-3599, 2014C-3600, 2014C-3655, 2014C-3656, 2014C-3840, 2014C-3850, 2014C-3857, 2014C-3907, 2014D-0067, 2014D-0068, 2014D-0070, 2014D-0189, CFSAN002349, CFSAN023463, CFSAN023464, CFSAN023465, CFSAN023466, CFSAN023467, CFSAN023468, CFSAN023469, CFSAN023470, CFSAN023471, D5663, D7316, D7319, D7320, D7321, D7322, D7323, D7324, D7327, D7328, D7329, D7330, D7331, D7333, D7334, MOD1_LS1000, MOD1_LS1003, MOD1_LS1004, MOD1_LS1005, MOD1_LS1006, MOD1_LS1008, MOD1_LS1009, MOD1_LS1010, MOD1_LS1011, MOD1_LS982, MOD1_LS985, MOD1_LS989, MOD1_LS994, MOD1_LS995, MOD1_LS996, MOD1_LS997, MOD1_LS998, PNUSA000194, PNUSA000195, PNUSA000196, PNUSAL000730, PNUSAL000870, PNUSAL000957, PNUSAL001024, SIM_CFSAN000189, SIM_CFSAN000191, SIM_CFSAN000211, SIM_CFSAN000212, SIM_CFSAN000228, SIM_CFSAN000661, SIM_CFSAN000669, SIM_CFSAN000700|
|               80|11037.21|54649942016.0|268281700352.0|194647711358.0|2014C-3598, 2014C-3599, 2014C-3600, 2014C-3655, 2014C-3656, 2014C-3840, 2014C-3850, 2014C-3857, 2014C-3907, 2014D-0067, 2014D-0068, 2014D-0070, 2014D-0189, CFSAN002349, CFSAN023463, CFSAN023464, CFSAN023465, CFSAN023466, CFSAN023467, CFSAN023468, CFSAN023469, CFSAN023470, CFSAN023471, D5663, D7316, D7319, D7320, D7321, D7322, D7323, D7324, D7327, D7328, D7329, D7330, D7331, D7333, D7334, MOD1_LS1000, MOD1_LS1003, MOD1_LS1004, MOD1_LS1005, MOD1_LS1006, MOD1_LS1008, MOD1_LS1009, MOD1_LS1010, MOD1_LS1011, MOD1_LS982, MOD1_LS985, MOD1_LS989, MOD1_LS994, MOD1_LS995, MOD1_LS996, MOD1_LS997, MOD1_LS998, PNUSA000194, PNUSA000195, PNUSA000196, PNUSAL000730, PNUSAL000870, PNUSAL000957, PNUSAL001024, SIM_CFSAN000189, SIM_CFSAN000191, SIM_CFSAN000211, SIM_CFSAN000212, SIM_CFSAN000228, SIM_CFSAN000661, SIM_CFSAN000669, SIM_CFSAN000700, SIM_CFSAN000752, SIM_CFSAN000753, SIM_CFSAN000951, SIM_CFSAN000952, SIM_CFSAN000954, SIM_CFSAN000958, SIM_CFSAN000960, SIM_CFSAN000961, SIM_CFSAN000963, SIM_CFSAN000968|
