->build_tree
|Number of Samples|Run time|       Memory|     Disk read|    Disk write|                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            List of Samples|
|-----------------|--------|-------------|--------------|--------------|-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|
|                1|  237.86| 1166831616.0|  3232520538.0|  2713214527.0|                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 2014C-3598|
|               10|   590.0| 8588877824.0| 44039578980.0| 37513617171.0|                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     2014C-3598, 2014C-3599, 2014C-3600, 2014C-3655, 2014C-3656, 2014C-3840, 2014C-3850, 2014C-3857, 2014C-3907, 2014D-0067|
|               20|  625.16|10632966144.0| 64559665818.0| 55091788806.0|                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      2014C-3598, 2014C-3599, 2014C-3600, 2014C-3655, 2014C-3656, 2014C-3840, 2014C-3850, 2014C-3857, 2014C-3907, 2014D-0067, 2014D-0068, 2014D-0070, 2014D-0189, CFSAN002349, CFSAN023463, CFSAN023464, CFSAN023465, CFSAN023466, CFSAN023467, CFSAN023468|
|               30|  668.71|16900186112.0|126469287783.0|108705163671.0|                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              2014C-3598, 2014C-3599, 2014C-3600, 2014C-3655, 2014C-3656, 2014C-3840, 2014C-3850, 2014C-3857, 2014C-3907, 2014D-0067, 2014D-0068, 2014D-0070, 2014D-0189, CFSAN002349, CFSAN023463, CFSAN023464, CFSAN023465, CFSAN023466, CFSAN023467, CFSAN023468, CFSAN023469, CFSAN023470, CFSAN023471, D5663, D7316, D7319, D7320, D7321, D7322, D7323|
|               40|   805.1|27972816896.0|209004115179.0|180248607507.0|                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            2014C-3598, 2014C-3599, 2014C-3600, 2014C-3655, 2014C-3656, 2014C-3840, 2014C-3850, 2014C-3857, 2014C-3907, 2014D-0067, 2014D-0068, 2014D-0070, 2014D-0189, CFSAN002349, CFSAN023463, CFSAN023464, CFSAN023465, CFSAN023466, CFSAN023467, CFSAN023468, CFSAN023469, CFSAN023470, CFSAN023471, D5663, D7316, D7319, D7320, D7321, D7322, D7323, D7324, D7327, D7328, D7329, D7330, D7331, D7333, D7334, MOD1_LS1000, MOD1_LS1003|
|               50|  864.41|33357791232.0|257438862629.0|221996080880.0|                                                                                                                                                                                                                                                                                                                                                                                                                                                                             2014C-3598, 2014C-3599, 2014C-3600, 2014C-3655, 2014C-3656, 2014C-3840, 2014C-3850, 2014C-3857, 2014C-3907, 2014D-0067, 2014D-0068, 2014D-0070, 2014D-0189, CFSAN002349, CFSAN023463, CFSAN023464, CFSAN023465, CFSAN023466, CFSAN023467, CFSAN023468, CFSAN023469, CFSAN023470, CFSAN023471, D5663, D7316, D7319, D7320, D7321, D7322, D7323, D7324, D7327, D7328, D7329, D7330, D7331, D7333, D7334, MOD1_LS1000, MOD1_LS1003, MOD1_LS1004, MOD1_LS1005, MOD1_LS1006, MOD1_LS1008, MOD1_LS1009, MOD1_LS1010, MOD1_LS1011, MOD1_LS982, MOD1_LS985, MOD1_LS989|
|               60|  1006.7|38348611584.0|309061070508.0|266573283946.0|                                                                                                                                                                                                                                                                                                                                              2014C-3598, 2014C-3599, 2014C-3600, 2014C-3655, 2014C-3656, 2014C-3840, 2014C-3850, 2014C-3857, 2014C-3907, 2014D-0067, 2014D-0068, 2014D-0070, 2014D-0189, CFSAN002349, CFSAN023463, CFSAN023464, CFSAN023465, CFSAN023466, CFSAN023467, CFSAN023468, CFSAN023469, CFSAN023470, CFSAN023471, D5663, D7316, D7319, D7320, D7321, D7322, D7323, D7324, D7327, D7328, D7329, D7330, D7331, D7333, D7334, MOD1_LS1000, MOD1_LS1003, MOD1_LS1004, MOD1_LS1005, MOD1_LS1006, MOD1_LS1008, MOD1_LS1009, MOD1_LS1010, MOD1_LS1011, MOD1_LS982, MOD1_LS985, MOD1_LS989, MOD1_LS994, MOD1_LS995, MOD1_LS996, MOD1_LS997, MOD1_LS998, PNUSA000194, PNUSA000195, PNUSA000196, PNUSAL000730, PNUSAL000870|
|               70| 1062.75|39404191744.0|332233829467.0|286028234519.0|                                                                                                                                                                          2014C-3598, 2014C-3599, 2014C-3600, 2014C-3655, 2014C-3656, 2014C-3840, 2014C-3850, 2014C-3857, 2014C-3907, 2014D-0067, 2014D-0068, 2014D-0070, 2014D-0189, CFSAN002349, CFSAN023463, CFSAN023464, CFSAN023465, CFSAN023466, CFSAN023467, CFSAN023468, CFSAN023469, CFSAN023470, CFSAN023471, D5663, D7316, D7319, D7320, D7321, D7322, D7323, D7324, D7327, D7328, D7329, D7330, D7331, D7333, D7334, MOD1_LS1000, MOD1_LS1003, MOD1_LS1004, MOD1_LS1005, MOD1_LS1006, MOD1_LS1008, MOD1_LS1009, MOD1_LS1010, MOD1_LS1011, MOD1_LS982, MOD1_LS985, MOD1_LS989, MOD1_LS994, MOD1_LS995, MOD1_LS996, MOD1_LS997, MOD1_LS998, PNUSA000194, PNUSA000195, PNUSA000196, PNUSAL000730, PNUSAL000870, PNUSAL000957, PNUSAL001024, SIM_CFSAN000189, SIM_CFSAN000191, SIM_CFSAN000211, SIM_CFSAN000212, SIM_CFSAN000228, SIM_CFSAN000661, SIM_CFSAN000669, SIM_CFSAN000700|
|               80| 1126.09|39619694592.0|352854495436.0|303060690143.0|2014C-3598, 2014C-3599, 2014C-3600, 2014C-3655, 2014C-3656, 2014C-3840, 2014C-3850, 2014C-3857, 2014C-3907, 2014D-0067, 2014D-0068, 2014D-0070, 2014D-0189, CFSAN002349, CFSAN023463, CFSAN023464, CFSAN023465, CFSAN023466, CFSAN023467, CFSAN023468, CFSAN023469, CFSAN023470, CFSAN023471, D5663, D7316, D7319, D7320, D7321, D7322, D7323, D7324, D7327, D7328, D7329, D7330, D7331, D7333, D7334, MOD1_LS1000, MOD1_LS1003, MOD1_LS1004, MOD1_LS1005, MOD1_LS1006, MOD1_LS1008, MOD1_LS1009, MOD1_LS1010, MOD1_LS1011, MOD1_LS982, MOD1_LS985, MOD1_LS989, MOD1_LS994, MOD1_LS995, MOD1_LS996, MOD1_LS997, MOD1_LS998, PNUSA000194, PNUSA000195, PNUSA000196, PNUSAL000730, PNUSAL000870, PNUSAL000957, PNUSAL001024, SIM_CFSAN000189, SIM_CFSAN000191, SIM_CFSAN000211, SIM_CFSAN000212, SIM_CFSAN000228, SIM_CFSAN000661, SIM_CFSAN000669, SIM_CFSAN000700, SIM_CFSAN000752, SIM_CFSAN000753, SIM_CFSAN000951, SIM_CFSAN000952, SIM_CFSAN000954, SIM_CFSAN000958, SIM_CFSAN000960, SIM_CFSAN000961, SIM_CFSAN000963, SIM_CFSAN000968|
